id,address,city,state,zip,country,lat,lon,type
300548,1954 W Peterson Ave,Chicago,IL,60660,US,41.990792,-87.679194,Dunkin Donuts
300551,6608 Frankford Ave,Philadelphia,PA,19135,US,40.030932,-75.054527,Dunkin Donuts
300552,901 W. Chester Pike,Havertown,PA,19083,US,39.971537,-75.310749,Dunkin Donuts
300553,580 Frederick Rd,Catonsville,MD,21228,US,39.272891,-76.728316,Dunkin Donuts
300557,702 White Horse Pike,Oaklyn,NJ,8107,US,39.901656,-75.077019,Dunkin Donuts
300558,744 Boston Post Rd,Old Saybrook,CT,6475,US,41.294736,-72.379742,Dunkin Donuts
300561,6601 Cermak Rd,Berwyn,IL,60402,US,41.850462,-87.788667,Dunkin Donuts
300562,6738 W Archer Ave,Chicago,IL,60638,US,41.792337,-87.790757,Dunkin Donuts
300565,128 Main St,Webster,MA,1570,US,42.048924,-71.884423,Dunkin Donuts
300566,1743 W. Lawrence Ave,Chicago,IL,60640,US,41.968722,-87.672958,Dunkin Donuts
300567,850 Elmhurst Rd,Des Plaines,IL,60016,US,42.035964,-87.941072,Dunkin Donuts
300569,34417 Ford Rd,Westland,MI,48185,US,42.324328,-83.379703,Dunkin Donuts
300570,4150 Main St,Bridgeport,CT,6606,US,41.216977,-73.213975,Dunkin Donuts
300571,57 Eastern Ave,Malden,MA,2148,US,42.42395,-71.065447,Dunkin Donuts
300572,282 Somerville Ave,Somerville,MA,2143,US,42.378901,-71.093988,Dunkin Donuts
300573,1582 Warwick Ave,Warwick,RI,2889,US,41.733353,-71.406417,Dunkin Donuts
300574,Browning Road And Kings Hwy,Brooklawn,NJ,8030,US,39.877309,-75.11233,Dunkin Donuts
300575,410 Lalor St,Trenton,NJ,8611,US,40.198575,-74.752522,Dunkin Donuts
300577,6060 Roswell Rd NE,Sandy Springs,GA,30328,US,33.920194,-84.379311,Dunkin Donuts
300580,2 Chace Rd,East Freetown,MA,2717,US,41.770831,-70.956228,Dunkin Donuts
300581,100 Baltimore Pike,Springfield,PA,19064,US,39.923568,-75.314436,Dunkin Donuts
300583,667 New Loudon Rd,Latham,NY,12110,US,42.736224,-73.761719,Dunkin Donuts
300584,105 Chelmsford St,Chelmsford,MA,1824,US,42.603014,-71.345625,Dunkin Donuts
300589,2007 Park Ave,South Plainfield,NJ,7080,US,40.595714,-74.400156,Dunkin Donuts
300590,42 Main St,Nashua,NH,3060,US,42.764232,-71.466029,Dunkin Donuts
300591,216 Elm St,Manchester,NH,3101,US,42.980822,-71.463603,Dunkin Donuts
300593,9208 Ogden Ave,Brookfield,IL,60513,US,41.817137,-87.851582,Dunkin Donuts
300594,1232 Western Ave,Albany,NY,12203,US,42.677847,-73.829086,Dunkin Donuts
300595,7152 Ritchie Hwy,Glen Burnie,MD,21061,US,39.17765,-76.616569,Dunkin Donuts
300604,775 State Rt 17 S,Ramsey,NJ,7446,US,41.062661,-74.125917,Dunkin Donuts
300605,151 W Layton Ave,Milwaukee,WI,53207,US,42.958792,-87.911708,Dunkin Donuts
300606,7020 Ogden Ave,Berwyn,IL,60402,US,41.825158,-87.798336,Dunkin Donuts
300611,26 Kingstown Rd,Richmond,RI,2898,US,41.511253,-71.686128,Dunkin Donuts
300612,Elm Street @Rte 11 & 103,Newport,NH,3773,US,43.360269,-72.176019,Dunkin Donuts
300617,2718 Washington Blvd,Baltimore,MD,21230,US,39.264162,-76.655448,Dunkin Donuts
300621,299 Main St,Acton,MA,1720,US,42.475853,-71.450381,Dunkin Donuts
300623,278 Closter Dock Rd,Closter,NJ,7624,US,40.971159,-73.959626,Dunkin Donuts
300624,840 Broadway,West Long Branch,NJ,7764,US,40.29845,-74.009375,Dunkin Donuts
300628,1300 Northampton St,Easton,PA,18042,US,40.690263,-75.228379,Dunkin Donuts
300629,600 Dundalk Ave,Baltimore,MD,21224,US,39.285407,-76.540771,Dunkin Donuts
300630,1346 W Brandon Blvd,Brandon,FL,33511,US,27.937937,-82.303086,Dunkin Donuts
300631,397 College Hwy,Southwick,MA,1077,US,42.047709,-72.779963,Dunkin Donuts
300645,2425 Hylan Blvd,Staten Island,NY,10306,US,40.571971,-74.108255,Dunkin Donuts
300648,1625 S Wayne Rd,Westland,MI,48186,US,42.296756,-83.388088,Dunkin Donuts
300650,755 Main St,South Weymouth,MA,2190,US,42.180069,-70.955831,Dunkin Donuts
300652,395 W Trenton Ave,Morrisville,PA,19067,US,40.208642,-74.798183,Dunkin Donuts
300653,25170 Greenfield Rd,Oak Park,MI,48237,US,42.474398,-83.20089,Dunkin Donuts
300657,444 Franklin St,Framingham,MA,1702,US,42.290853,-71.429211,Dunkin Donuts
300658,970 Hartford Tpke,Waterford,CT,6385,US,41.386531,-72.159433,Dunkin Donuts
300660,4175 Washington St,Roslindale,MA,2131,US,42.287906,-71.126892,Dunkin Donuts
300662,951 Bennington St,East Boston,MA,2128,US,42.385928,-71.008314,Dunkin Donuts
300663,132 King St,Northampton,MA,1060,US,42.32381,-72.633504,Dunkin Donuts
300665,633 Main St,South Portland,ME,4106,US,43.621197,-70.304353,Dunkin Donuts
300666,283 N Main St,Barre,VT,5641,US,44.200163,-72.504536,Dunkin Donuts
300668,1015 Main St,Willimantic,CT,6226,US,41.713088,-72.218844,Dunkin Donuts
300669,856 Queen St,Southington,CT,6489,US,41.640014,-72.874464,Dunkin Donuts
300673,43 Allenstown Rd,Allenstown,NH,3275,US,43.124272,-71.443085,Dunkin Donuts
300676,2323 W. 127th St,Blue Island,IL,60406,US,41.662406,-87.678625,Dunkin Donuts
300677,2885 Long Beach Rd,Oceanside,NY,11572,US,40.64078,-73.6396,Dunkin Donuts
300679,6408 W 95th St,Chicago Ridge,IL,60415,US,41.719961,-87.780961,Dunkin Donuts
300682,1755 W Addison St,Chicago,IL,60613,US,41.946852,-87.673164,Dunkin Donuts
300687,161 Union Ave,Paterson,NJ,7502,US,40.915505,-74.194484,Dunkin Donuts
300694,145 Broadway,Revere,MA,2151,US,42.405772,-71.015158,Dunkin Donuts
300697,247 Greenwich St,Hempstead,NY,11550,US,40.70035,-73.61583,Dunkin Donuts
300698,330 Boston Post Rd,Port Chester,NY,10573,US,40.994897,-73.673939,Dunkin Donuts
300700,1604 N Bridge St,Yorkville,IL,60560,US,41.660503,-88.442342,Dunkin Donuts
300702,24740 Telegraph Rd,Southfield,MI,48034,US,42.469757,-83.280443,Dunkin Donuts
300705,3504 US Highway 27 S,Sebring,FL,33870,US,27.468033,-81.437675,Dunkin Donuts
300707,19010 Middlebelt Rd,Livonia,MI,48152,US,42.425971,-83.335413,Dunkin Donuts
300710,544 Deering Ave,Portland,ME,4103,US,43.670664,-70.284753,Dunkin Donuts
300711,319 Main St,Lewiston,ME,4240,US,44.101403,-70.213847,Dunkin Donuts
300712,28875 Dequindre Rd,Madison Heights,MI,48071,US,42.504681,-83.086083,Dunkin Donuts
300715,7059 S. Ashland Ave,Chicago,IL,60636,US,41.765086,-87.663431,Dunkin Donuts
300716,3900 Dempster St,Skokie,IL,60076,US,42.040911,-87.725633,Dunkin Donuts
300717,522 Ogden Ave,Downers Grove,IL,60515,US,41.809714,-87.999283,Dunkin Donuts
300720,1816 S Ridgewood Ave,Edgewater,FL,32141,US,28.972587,-80.896001,Dunkin Donuts
300723,6401 Roosevelt Blvd,Philadelphia,PA,19149,US,40.034978,-75.068792,Dunkin Donuts
300729,3132 W. Devon Ave,Chicago,IL,60659,US,41.997537,-87.708483,Dunkin Donuts
300734,664 River Oaks Dr,Calumet City,IL,60409,US,41.600442,-87.541469,Dunkin Donuts
300737,5406 Bellaire Blvd,Bellaire,TX,77401,US,29.705737,-95.474346,Dunkin Donuts
300740,600 S Missouri Ave,Clearwater,FL,33756,US,27.959211,-82.787856,Dunkin Donuts
300744,201 N. Circle Dr,Colorado Springs,CO,80909,US,38.836053,-104.775533,Dunkin Donuts
300754,5346 E. 22nd St,Tucson,AZ,85711,US,32.206692,-110.878094,Dunkin Donuts
300762,2706 Concord Pike,Wilmington,DE,19803,US,39.796861,-75.548011,Dunkin Donuts
300764,60 Mohawk Trl,Greenfield,MA,1301,US,42.585067,-72.613022,Dunkin Donuts
300779,580 Route 303,Blauvelt,NY,10913,US,41.062981,-73.949359,Dunkin Donuts
300781,275 S Washington Ave,Bergenfield,NJ,7621,US,40.918284,-73.997069,Dunkin Donuts
