"","type","lat","lon","sb_lat","sb_lon","feet","string_check","sb_name"
"1362","Starbucks",36.190185,-95.889924,36.131916,-95.966108,30915.94,"36.190185 -95.889924","36.131916 -95.966108"
"1363","Starbucks",40.78918,-73.09849,40.754806,-73.116122,13442.33,"40.78918 -73.09849","40.754806 -73.116122"
"1364","Starbucks",40.195888,-76.755479,40.21638,-76.78938,12058.02,"40.195888 -76.755479","40.21638 -76.78938"
"1365","Starbucks",40.806431,-74.076824,40.830975,-74.09022,9680.64,"40.806431 -74.076824","40.830975 -74.09022"
"1366","Starbucks",36.641573,-119.762428,36.6281,-119.68256,23943.01,"36.641573 -119.762428","36.6281 -119.68256"
"1367","Starbucks",42.01765,-74.014471,41.962689,-73.988998,21192.11,"42.01765 -74.014471","41.962689 -73.988998"
"1368","Starbucks",41.617501,-74.076314,41.507356,-74.068166,40197.56,"41.617501 -74.076314","41.507356 -74.068166"
"1369","Starbucks",43.119515,-75.404997,43.09742,-75.83784,115871.45,"43.119515 -75.404997","43.09742 -75.83784"
"1370","Starbucks",43.0534,-74.8476,43.119515,-75.404997,150844.04,"43.0534 -74.8476","43.119515 -75.404997"
"1371","Starbucks",42.97134,-77.171382,42.877497,-77.262669,42044.5,"42.97134 -77.171382","42.877497 -77.262669"
"1372","Starbucks",40.9899,-73.872,41.003063,-73.856888,6356.41,"40.9899 -73.872","41.003063 -73.856888"
"1373","Starbucks",38.903077,-77.031752,38.904205,-77.033175,576.88,"38.903077 -77.031752","38.904205 -77.033175"
"1374","Starbucks",44.88339,-93.21087,44.88266,-93.206279,1219.43,"44.88339 -93.21087","44.88266 -93.206279"
"1375","Starbucks",42.96647,-85.67469,42.966802,-85.672194,678.97,"42.96647 -85.67469","42.966802 -85.672194"
"1376","Starbucks",36.102101,-115.17811,36.102123,-115.175122,882.78,"36.102101 -115.17811","36.102123 -115.175122"
"1377","Starbucks",30.265468,-97.740448,30.268363,-97.742992,1324.28,"30.265468 -97.740448","30.268363 -97.742992"
"1378","Starbucks",40.206243,-79.56623,40.306359,-79.582555,36756.41,"40.206243 -79.56623","40.306359 -79.582555"
"1379","Starbucks",29.74111,-95.466236,29.738859,-95.463179,1269.44,"29.74111 -95.466236","29.738859 -95.463179"
"1380","Starbucks",39.00914,-76.895683,38.997617,-76.909605,5767.92,"39.00914 -76.895683","38.997617 -76.909605"
"1381","Starbucks",40.709646,-74.014614,40.708234,-74.011091,1103.93,"40.709646 -74.014614","40.708234 -74.011091"
"1382","Starbucks",40.439736,-79.992001,40.43807,-79.993949,813.89,"40.439736 -79.992001","40.43807 -79.993949"
"1383","Starbucks",33.761583,-84.385099,33.760677,-84.387847,897.96,"33.761583 -84.385099","33.760677 -84.387847"
"1384","Starbucks",40.083122,-75.440116,40.085384,-75.394441,12807.26,"40.083122 -75.440116","40.085384 -75.394441"
"1385","Starbucks",40.027,-79.115105,40.017919,-79.078466,10781.6,"40.027 -79.115105","40.017919 -79.078466"
"1386","Starbucks",33.835783,-118.349965,33.833509,-118.348778,902.64,"33.835783 -118.349965","33.833509 -118.348778"
"1387","Starbucks",25.7724,-80.185313,25.7733,-80.188996,1255.44,"25.7724 -80.185313","25.7733 -80.188996"
"1388","Starbucks",41.05996,-75.321684,41.102559,-75.334266,15904.2,"41.05996 -75.321684","41.102559 -75.334266"
"1389","Starbucks",39.277962,-120.12019,39.23899,-120.03595,27758.42,"39.277962 -120.12019","39.23899 -120.03595"
"1390","Starbucks",39.998947,-82.890917,39.999301,-82.890987,130.44,"39.998947 -82.890917","39.999301 -82.890987"
"1391","Starbucks",43.385365,-70.54211,43.474469,-70.513594,33350.87,"43.385365 -70.54211","43.474469 -70.513594"
