STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,subid.GEOID,subid.NAME,legit_geo,legit_name,legit_area
4,13,106002,4013106002,1060.02,Census Tract 1060.02,401392601,Phoenix,401392601,Phoenix,9.15E-05
4,13,106003,4013106003,1060.03,Census Tract 1060.03,401392601,Phoenix,401392601,Phoenix,9.14E-05
4,13,106701,4013106701,1067.01,Census Tract 1067.01,401392601,Phoenix,401392601,Phoenix,6.15E-05
4,13,107601,4013107601,1076.01,Census Tract 1076.01,401392601,Phoenix,401392601,Phoenix,0.000127178
4,13,107602,4013107602,1076.02,Census Tract 1076.02,401392601,Phoenix,401392601,Phoenix,0.000126607
4,13,106502,4013106502,1065.02,Census Tract 1065.02,401392601,Phoenix,401392601,Phoenix,0.000127096
4,13,106703,4013106703,1067.03,Census Tract 1067.03,401392601,Phoenix,401392601,Phoenix,0.000125694
4,13,108501,4013108501,1085.01,Census Tract 1085.01,401392601,Phoenix,401392601,Phoenix,0.00012572
4,13,106802,4013106802,1068.02,Census Tract 1068.02,401392601,Phoenix,401392601,Phoenix,0.000182384
4,13,108301,4013108301,1083.01,Census Tract 1083.01,401392601,Phoenix,401392601,Phoenix,0.000224405
4,13,112514,4013112514,1125.14,Census Tract 1125.14,401392601,Phoenix,401392601,Phoenix,0.002125923
4,13,619200,4013619200,6192,Census Tract 6192,401392601,Phoenix,401392601,Phoenix,9.42E-05
4,13,619500,4013619500,6195,Census Tract 6195,401392601,Phoenix,401392601,Phoenix,0.000251585
4,13,619300,4013619300,6193,Census Tract 6193,401392601,Phoenix,401392601,Phoenix,0.000127321
4,13,619400,4013619400,6194,Census Tract 6194,401392601,Phoenix,401392601,Phoenix,0.000125885
4,13,813900,4013813900,8139,Census Tract 8139,401390561,Chandler,401390561,Chandler,0.000248757
4,13,814000,4013814000,8140,Census Tract 8140,401390561,Chandler,401390561,Chandler,0.000240138
4,13,116603,4013116603,1166.03,Census Tract 1166.03,401392601,Phoenix,401392601,Phoenix,0.000633
4,13,814100,4013814100,8141,Census Tract 8141,401390561,Chandler,401390561,Chandler,0.000248377
4,13,814400,4013814400,8144,Census Tract 8144,401390561,Chandler,401390561,Chandler,0.00024601
4,13,113802,4013113802,1138.02,Census Tract 1138.02,401392601,Phoenix,401392601,Phoenix,0.001319608
4,13,422621,4013422621,4226.21,Census Tract 4226.21,401392601,Phoenix,401392601,Phoenix,0.0002471
4,13,814500,4013814500,8145,Census Tract 8145,401390561,Chandler,401390561,Chandler,0.00025059
4,13,422620,4013422620,4226.2,Census Tract 4226.20,401392601,Phoenix,401392601,Phoenix,0.000247854
4,13,814700,4013814700,8147,Census Tract 8147,401390561,Chandler,401390561,Chandler,0.000246318
4,13,814800,4013814800,8148,Census Tract 8148,401390561,Chandler,401390561,Chandler,0.000493061
4,13,110802,4013110802,1108.02,Census Tract 1108.02,401392601,Phoenix,401392601,Phoenix,0.000126759
4,13,109001,4013109001,1090.01,Census Tract 1090.01,401392601,Phoenix,401392601,Phoenix,6.31E-05
4,13,109102,4013109102,1091.02,Census Tract 1091.02,401392601,Phoenix,401392601,Phoenix,0.000124321
4,13,109002,4013109002,1090.02,Census Tract 1090.02,401392601,Phoenix,401392601,Phoenix,9.15E-05
4,13,110501,4013110501,1105.01,Census Tract 1105.01,401392601,Phoenix,401392601,Phoenix,0.00013724
4,13,110502,4013110502,1105.02,Census Tract 1105.02,401392601,Phoenix,401392601,Phoenix,0.000127099
4,13,108502,4013108502,1085.02,Census Tract 1085.02,401392601,Phoenix,401392601,Phoenix,0.000125515
4,13,109003,4013109003,1090.03,Census Tract 1090.03,401392601,Phoenix,401392601,Phoenix,9.39E-05
4,13,619700,4013619700,6197,Census Tract 6197,401392601,Phoenix,401392601,Phoenix,0.00013688
4,13,117000,4013117000,1170,Census Tract 1170,401392601,Phoenix,401392601,Phoenix,0.000187607
4,13,110901,4013110901,1109.01,Census Tract 1109.01,401392601,Phoenix,401392601,Phoenix,0.000128855
4,13,619800,4013619800,6198,Census Tract 6198,401392601,Phoenix,401392601,Phoenix,0.000137662
4,13,113501,4013113501,1135.01,Census Tract 1135.01,401392601,Phoenix,401392601,Phoenix,0.000124552
4,13,619600,4013619600,6196,Census Tract 6196,401392601,Phoenix,401392601,Phoenix,0.00025181
4,13,116731,4013116731,1167.31,Census Tract 1167.31,401392601,Phoenix,401392601,Phoenix,0.000318047
4,13,810300,4013810300,8103,Census Tract 8103,401390561,Chandler,401390561,Chandler,0.000248312
4,13,619900,4013619900,6199,Census Tract 6199,401392601,Phoenix,401392601,Phoenix,0.000334111
4,13,422632,4013422632,4226.32,Census Tract 4226.32,401392601,Phoenix,401392601,Phoenix,0.00025093
4,13,422623,4013422623,4226.23,Census Tract 4226.23,401390561,Chandler,401392601,Phoenix,0.000493757
4,13,810000,4013810000,8100,Census Tract 8100,401390561,Chandler,401390561,Chandler,0.000265214
4,13,810100,4013810100,8101,Census Tract 8101,401390561,Chandler,401390561,Chandler,0.000498418
4,13,422631,4013422631,4226.31,Census Tract 4226.31,401392601,Phoenix,401392601,Phoenix,0.00030281
4,13,422637,4013422637,4226.37,Census Tract 4226.37,401392601,Phoenix,401392601,Phoenix,0.000136496
4,13,422636,4013422636,4226.36,Census Tract 4226.36,401392601,Phoenix,401392601,Phoenix,0.000263011
4,13,50611,4013050611,506.11,Census Tract 506.11,401392601,Phoenix,401390459,Buckeye,0.005695148
4,13,30401,4013030401,304.01,Census Tract 304.01,401392601,Phoenix,401390867,Deer Valley,0.002584302
4,13,40517,4013040517,405.17,Census Tract 405.17,401393774,Wickenburg,401393774,Wickenburg,0.01483758
4,13,40529,4013040529,405.29,Census Tract 405.29,401393774,Wickenburg,401393774,Wickenburg,0.00038875
4,13,50610,4013050610,506.1,Census Tract 506.10,401392601,Phoenix,401390459,Buckeye,0.003596574
4,13,420402,4013420402,4204.02,Census Tract 4204.02,401392601,Phoenix,401392601,Phoenix,0.000951232
4,13,61034,4013061034,610.34,Census Tract 610.34,401392601,Phoenix,401392601,Phoenix,0.000251856
4,13,105502,4013105502,1055.02,Census Tract 1055.02,401392601,Phoenix,401392601,Phoenix,6.21E-05
4,13,106702,4013106702,1067.02,Census Tract 1067.02,401392601,Phoenix,401392601,Phoenix,6.30E-05
4,13,61017,4013061017,610.17,Census Tract 610.17,401392601,Phoenix,401392601,Phoenix,0.000314679
4,13,40531,4013040531,405.31,Census Tract 405.31,401392601,Phoenix,401393774,Wickenburg,0.000259753
4,13,105501,4013105501,1055.01,Census Tract 1055.01,401392601,Phoenix,401392601,Phoenix,0.000125063
4,13,217203,4013217203,2172.03,Census Tract 2172.03,401392601,Phoenix,401392601,Phoenix,0.000127218
4,15,950703,4015950703,9507.03,Census Tract 9507.03,401591885,Kingman,401591885,Kingman,0.000278034
4,15,950706,4015950706,9507.06,Census Tract 9507.06,401591885,Kingman,401591885,Kingman,0.000286736
4,13,810400,4013810400,8104,Census Tract 8104,401390561,Chandler,401390561,Chandler,0.000519385
4,13,810800,4013810800,8108,Census Tract 8108,401390561,Chandler,401390561,Chandler,0.00026273
4,13,810500,4013810500,8105,Census Tract 8105,401390561,Chandler,401390561,Chandler,0.000282796
4,13,811100,4013811100,8111,Census Tract 8111,401390561,Chandler,401390561,Chandler,0.000245659
4,13,811500,4013811500,8115,Census Tract 8115,401390561,Chandler,401390561,Chandler,0.000123854
4,13,811700,4013811700,8117,Census Tract 8117,401390561,Chandler,401390561,Chandler,0.000252553
4,13,811600,4013811600,8116,Census Tract 8116,401390561,Chandler,401390561,Chandler,0.000251578
4,13,422640,4013422640,4226.4,Census Tract 4226.40,401392601,Phoenix,401392601,Phoenix,0.000252843
4,13,810900,4013810900,8109,Census Tract 8109,401390561,Chandler,401390561,Chandler,0.000266063
4,13,810600,4013810600,8106,Census Tract 8106,401390561,Chandler,401390561,Chandler,0.000346793
4,13,422638,4013422638,4226.38,Census Tract 4226.38,401392601,Phoenix,401392601,Phoenix,0.000260177
4,13,811000,4013811000,8110,Census Tract 8110,401390561,Chandler,401390561,Chandler,0.000239619
4,13,815100,4013815100,8151,Census Tract 8151,401390561,Chandler,401390561,Chandler,0.000246347
4,13,815000,4013815000,8150,Census Tract 8150,401390561,Chandler,401390561,Chandler,0.000238357
4,13,814900,4013814900,8149,Census Tract 8149,401390561,Chandler,401390561,Chandler,0.000369236
4,13,815200,4013815200,8152,Census Tract 8152,401390561,Chandler,401390561,Chandler,0.000522957
4,13,815300,4013815300,8153,Census Tract 8153,401390561,Chandler,401390561,Chandler,0.00047026
4,13,71506,4013071506,715.06,Census Tract 715.06,401392601,Phoenix,401392601,Phoenix,0.000408508
4,13,71509,4013071509,715.09,Census Tract 715.09,401392601,Phoenix,401392601,Phoenix,0.000468419
4,13,71511,4013071511,715.11,Census Tract 715.11,401392601,Phoenix,401392601,Phoenix,0.000229322
