"","type","lat","lon","dd_lat","dd_lon","feet"
"1948","Starbucks",48.289247,-122.659017,41.159306,-111.940207,3803771.77
"1949","Starbucks",37.899345,-122.515013,34.891325,-116.999202,1957700.41
"1950","Starbucks",39.645886,-105.339931,39.747723,-105.053425,88747.25
"1951","Starbucks",37.756933,-122.252902,34.891325,-116.999202,1865992.79
"1952","Starbucks",41.810073,-87.987516,41.809714,-87.999283,3210.67
"1953","Starbucks",34.471808,-117.29003,34.891325,-116.999202,175952.15
"1954","Starbucks",34.273063,-118.678013,33.225323,-117.392682,545917.62
"1955","Starbucks",35.623614,-120.660314,34.891325,-116.999202,1125015.98
"1956","Starbucks",32.782484,-117.032756,32.711667,-117.170458,49564.06
"1957","Starbucks",33.892834,-118.362248,33.225323,-117.392682,382427.54
"1958","Starbucks",38.90056,-76.97944,38.917536,-76.970353,6701.98
"1959","Starbucks",33.637516,-112.425319,33.637614,-112.424738,180.41
"1960","Starbucks",44.805731,-122.795711,41.159306,-111.940207,3191057.97
"1961","Starbucks",33.584554,-111.9259,33.582789,-111.924391,789.78
"1962","Starbucks",38.711253,-121.084114,34.891325,-116.999202,1833890.23
"1963","Starbucks",38.939334,-76.562858,38.942811,-76.561193,1352.06
"1964","Starbucks",39.144071,-123.205916,34.891325,-116.999202,2382492.83
"1965","Starbucks",37.356679,-122.017299,34.891325,-116.999202,1732262
"1966","Starbucks",37.373105,-122.056914,34.891325,-116.999202,1745226.43
"1967","Starbucks",38.465916,-122.652917,34.891325,-116.999202,2107016.99
"1968","Starbucks",40.258508,-75.085555,40.254699,-75.089499,1771.25
"1969","Starbucks",47.784338,-122.344247,41.159306,-111.940207,3628801.61
"1970","Starbucks",32.951325,-117.246653,32.711667,-117.170458,90286.7
"1971","Starbucks",32.308266,-110.891495,32.250474,-110.893153,21032.14
"1972","Starbucks",38.883529,-76.98651,38.883723,-76.994671,2324.28
"1973","Starbucks",34.155106,-118.3457,33.225323,-117.392682,445555.18
"1974","Starbucks",48.151633,-122.181545,41.159306,-111.940207,3682066.3
"1975","Starbucks",33.660534,-117.293728,33.225323,-117.392682,161219.42
"1976","Starbucks",40.465969,-106.824493,40.033534,-105.259177,464466.27
"1977","Starbucks",40.040142,-75.37057,40.04415,-75.38761,4989.46
"1978","Starbucks",47.190323,-122.407263,41.159306,-111.940207,3512674.36
"1979","Starbucks",47.359209,-122.310872,41.159306,-111.940207,3528949.74
"1980","Starbucks",33.698351,-117.886942,33.225323,-117.392682,228807.91
"1981","Starbucks",38.551323,-122.806385,34.891325,-116.999202,2160824.32
"1982","Starbucks",34.229573,-118.998402,33.225323,-117.392682,609847.8
"1983","Starbucks",46.148601,-122.961043,41.159306,-111.940207,3432660.62
"1984","Starbucks",46.599061,-120.584739,41.159306,-111.940207,3017984.79
"1985","Starbucks",37.74374,-122.438769,34.891325,-116.999202,1909105.59
"1986","Starbucks",42.362758,-122.858303,41.089663,-111.975796,3004569.32
"1987","Starbucks",33.45514,-111.68394,33.452042,-111.688316,1747.15
"1988","Starbucks",38.271858,-122.053209,34.891325,-116.999202,1927381.19
"1989","Starbucks",32.801095,-117.003886,32.711667,-117.170458,60674.17
"1990","Starbucks",37.552265,-122.049014,34.891325,-116.999202,1776457.18
"1991","Starbucks",37.836061,-122.128638,34.891325,-116.999202,1851658.23
"1992","Starbucks",33.321756,-111.822602,33.33569,-111.84122,7619.13
"1993","Starbucks",45.227592,-123.172734,41.159306,-111.940207,3338367.61
"1994","Starbucks",37.280441,-121.950067,34.891325,-116.999202,1701580.82
"1995","Starbucks",33.423986,-111.772175,33.437269,-111.788746,6994.64
"1996","Starbucks",33.394836,-111.752311,33.38186,-111.73884,6261.32
"1997","Starbucks",33.86757,-117.75636,33.225323,-117.392682,258649.12
"1998","Starbucks",34.026745,-118.489943,33.225323,-117.392682,443420.26
"1999","Starbucks",37.723684,-122.154799,34.891325,-116.999202,1835562.1
"2000","Starbucks",37.046672,-122.030153,34.891325,-116.999202,1682557.56
"2001","Starbucks",43.972995,-124.103091,41.159306,-111.940207,3429554.95
"2002","Starbucks",33.377933,-111.723588,33.38186,-111.73884,4870.53
"2003","Starbucks",39.651821,-104.984309,39.721942,-104.987095,25555.04
"2004","Starbucks",32.807363,-117.116356,32.711667,-117.170458,38587.48
"2005","Starbucks",37.252662,-121.908205,34.891325,-116.999202,1686011.02
"2006","Starbucks",34.267788,-118.899173,33.225323,-117.392682,594667.72
"2007","Starbucks",47.708587,-116.787977,41.159306,-111.940207,2701363.02
"2008","Starbucks",33.625699,-111.975937,33.626557,-111.979391,1096.85
"2009","Starbucks",45.666711,-122.603647,41.159306,-111.940207,3271392.85
"2010","Starbucks",37.958099,-122.093511,34.891325,-116.999202,1868467.24
"2011","Starbucks",33.522875,-117.714189,33.225323,-117.392682,146144.07
"2012","Starbucks",34.017371,-118.489905,33.225323,-117.392682,441189.13
"2013","Starbucks",33.102899,-117.073522,33.225323,-117.392682,107352.98
"2014","Starbucks",39.762128,-121.822741,34.891325,-116.999202,2260331.43
"2015","Starbucks",44.930459,-123.312697,41.159306,-111.940207,3332530.57
"2016","Starbucks",47.629329,-117.37446,41.159306,-111.940207,2751821.49
"2017","Starbucks",34.271866,-118.49975,34.891325,-116.999202,504823.77
"2018","Starbucks",45.519992,-123.095351,41.159306,-111.940207,3362333.12
"2019","Starbucks",37.260392,-121.875191,34.891325,-116.999202,1679010.95
"2020","Starbucks",37.948643,-122.059731,34.891325,-116.999202,1858523.09
"2021","Starbucks",37.340938,-122.041776,34.891325,-116.999202,1735624.74
"2022","Starbucks",48.512603,-122.611899,41.159306,-111.940207,3846976.92
"2023","Starbucks",46.299616,-119.275543,41.159306,-111.940207,2694221.88
"2024","Starbucks",47.471642,-122.336181,41.159306,-111.940207,3558260
"2025","Starbucks",33.039251,-96.752332,33.029809,-96.77049,6540.2
"2026","Starbucks",33.995388,-117.968124,33.225323,-117.392682,330488.36
"2027","Starbucks",46.136719,-122.938639,41.159306,-111.940207,3425611.06
"2028","Starbucks",35.978735,-115.099929,36.005542,-115.112061,10397.93
"2029","Starbucks",34.135937,-118.15315,33.225323,-117.392682,404142.64
"2030","Starbucks",33.85656,-118.11683,33.225323,-117.392682,318518.04
"2031","Starbucks",33.655095,-112.373207,33.637774,-112.357249,7957.23
"2032","Starbucks",32.335973,-110.974911,32.349137,-110.975982,4800.79
"2033","Starbucks",34.158234,-118.63571,33.225323,-117.392682,508148.17
"2034","Starbucks",34.226032,-119.038176,33.225323,-117.392682,618820.62
"2035","Starbucks",34.649116,-120.459039,34.891325,-116.999202,1042795.72
"2036","Starbucks",34.026617,-118.427083,33.225323,-117.392682,429159.04
"2037","Starbucks",34.021796,-117.809502,33.225323,-117.392682,316394.49
"2038","Starbucks",36.835962,-119.68505,34.891325,-116.999202,1065060.11
"2039","Starbucks",33.610561,-112.357462,33.637774,-112.357249,9902.99
"2040","Starbucks",38.724316,-75.126639,38.702001,-75.096155,11904.59
"2041","Starbucks",38.871316,-77.261052,38.865146,-77.27438,4410.38
"2042","Starbucks",41.891671,-87.621071,41.892827,-87.622635,599
"2043","Starbucks",33.724221,-117.987573,33.225323,-117.392682,256647.88
"2044","Starbucks",33.539217,-112.06239,33.552972,-112.10106,12801.9
"2045","Starbucks",33.348072,-111.981878,33.33498,-111.962164,7677.73
"2046","Starbucks",38.6275,-76.9531,38.615504,-76.920701,10236.1
"2047","Starbucks",33.586827,-111.837726,33.58786,-111.836226,591.61
"2048","Starbucks",32.74634,-116.962906,32.711667,-117.170458,65065.05
"2049","Starbucks",47.723223,-122.207258,41.159306,-111.940207,3588519.71
"2050","Starbucks",60.128956,-149.43355,41.159306,-111.940207,10873499.57
"2051","Starbucks",39.737532,-104.915592,39.721942,-104.987095,20897.71
"2052","Starbucks",47.360539,-122.018638,41.159306,-111.940207,3471011.78
"2053","Starbucks",34.144375,-118.395744,33.225323,-117.392682,452726.42
"2054","Starbucks",48.182052,-122.127899,41.159306,-111.940207,3679221.88
"2055","Starbucks",38.973842,-76.27457,38.975428,-76.298984,6965.11
"2056","Starbucks",38.967035,-77.376537,38.958114,-77.37359,3355.57
"2057","Starbucks",39.484778,-105.073843,39.721942,-104.987095,89782.04
"2058","Starbucks",46.996093,-120.543492,41.159306,-111.940207,3101260.98
"2059","Starbucks",60.483936,-151.065376,41.159306,-111.940207,11196479.88
"2060","Starbucks",47.962549,-122.211886,41.159306,-111.940207,3643849.99
"2061","Starbucks",37.987814,-121.784412,34.891325,-116.999202,1802944.01
"2062","Starbucks",47.098899,-122.209286,41.159306,-111.940207,3453190.55
"2063","Starbucks",33.72984,-118.025505,33.225323,-117.392682,266351.29
"2064","Starbucks",47.518166,-122.630402,41.159306,-111.940207,3627003.99
"2065","Starbucks",38.424015,-121.446151,34.891325,-116.999202,1831427.82
"2066","Starbucks",34.11178,-118.150566,33.225323,-117.392682,396527.38
"2067","Starbucks",33.864937,-118.394035,33.225323,-117.392682,383753.42
"2068","Starbucks",37.675108,-121.874707,34.891325,-116.999202,1758048.76
"2069","Starbucks",44.939255,-123.063128,41.159306,-111.940207,3273191.94
"2070","Starbucks",47.732481,-122.17442,41.159306,-111.940207,3584246.35
"2071","Starbucks",48.437319,-122.337418,41.159306,-111.940207,3778497.95
"2072","Starbucks",37.978372,-122.028553,34.891325,-116.999202,1857487.07
"2073","Starbucks",40.273296,-75.241035,40.26535,-75.22833,4577.11
"2074","Starbucks",40.110923,-75.212414,40.108799,-75.213999,891.78
"2075","Starbucks",33.95502,-117.389368,33.225323,-117.392682,265536.34
"2076","Starbucks",40.143703,-75.313408,40.1454,-75.3188,1629.29
"2077","Starbucks",33.976455,-117.557385,33.225323,-117.392682,277897.99
"2078","Starbucks",34.288784,-118.71763,33.225323,-117.392682,558522.11
"2079","Starbucks",40.087079,-75.357573,40.094689,-75.364228,3339.56
"2080","Starbucks",40.001101,-75.272232,39.979277,-75.270484,7965.33
"2081","Starbucks",40.181797,-74.907527,40.176556,-74.892934,4502.58
"2082","Starbucks",33.554301,-117.138535,33.225323,-117.392682,142649.15
"2083","Starbucks",34.098064,-118.28793,33.225323,-117.392682,418416.57
"2084","Starbucks",34.097044,-118.288006,33.225323,-117.392682,418151
"2085","Starbucks",32.864178,-97.179945,32.844519,-97.18663,7441.78
"2086","Starbucks",40.324216,-75.131964,40.328577,-75.129176,1768.74
"2087","Starbucks",33.564689,-117.630891,33.225323,-117.392682,143304.97
"2088","Starbucks",34.162446,-118.314526,33.225323,-117.392682,441496.83
"2089","Starbucks",34.151142,-118.002463,33.225323,-117.392682,384595.48
"2090","Starbucks",34.121464,-117.706665,33.225323,-117.392682,339810.95
"2091","Starbucks",30.495019,-97.654379,30.497396,-97.657036,1203.25
"2092","Starbucks",32.722552,-97.150675,32.665782,-97.133868,21292.81
"2093","Starbucks",32.75341,-117.129541,32.711667,-117.170458,19723.29
"2094","Starbucks",34.442303,-119.830864,33.225323,-117.392682,862741.46
"2095","Starbucks",30.275312,-97.799145,30.425561,-97.753682,56497.42
