"","X","ProfileNo","OrganizationIdentificationID","DepartmentName","OrganizationActivityText","ReportingOfficerIdentificationID","InterventionIdentificationID","IdentificationCategoryDescriptionText","InterventionDate","Month","SubjectRaceCode","SubjectEthnicityCode","SubjectSexCode","SubjectAge","ResidentIndicator","TownRecidentIndicator","InterventionLocationName","InterventionLocationDescriptionText","InterventionLocationLatitude","DegreeY","MinY","SecondY","InterventionLocationLongitude","DegreeX","MinX","SecondX","InterventionReasonCode","InterventionTechniqueCode","InterventionDurationCode","TowedIndicator","StatuteCodeIdentificationID","Reason.for.Stop","StatutatoryCitation","VehicleSearchedIndicator","SearchAuthorizationCode","ContrabandIndicator","CustodialArrestIndicator","InterventionDispositionCode","InterventionDispositionDate","InterventionDispositionReasonText","IsStatuteCodeValid","IsStatutatoryCitationValid","IsaTest","RecordCount","SourceId","SourceReferenceId","InterventionTime","town"
"15050",15050,1918549,"CT0006200","Hamden","Racial Profile","100000411","1300042855","Incident ID","Thursday, October 03, 2013",NA,"B","N","M",23,TRUE,TRUE,"HAMDEN              ","putnam/newhall",41.343682,NA,NA,NA,-72.926341,NA,NA,NA,"V","G",1,FALSE,"14-299","Traffic Control Signal","14-299",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.367581018518518,"New Britain"
"15051",15051,1918736,"CT0006200","Hamden","Racial Profile","100000577","1300042813","Incident ID","Thursday, October 03, 2013",NA,"B","N","M",35,TRUE,FALSE,"HAMDEN              ","200 leeter hill",41.3494451,NA,NA,NA,-72.92150529,NA,NA,NA,"V","G",2,FALSE,"14-218a","Speed Related","14-215",FALSE,"N",FALSE,FALSE,"M",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.0640393518518518,"New Britain"
"15052",15052,1918649,"CT0006200","Hamden","Racial Profile","100000479","1300042942","Incident ID","Thursday, October 03, 2013",NA,"B","N","M",64,TRUE,FALSE,"HAMDEN              ","Dixwell Ave./Colony Pkwy",41.367106,NA,NA,NA,-72.920713,NA,NA,NA,"V","G",1,FALSE,"14-100a(c)","Seatbelt","14-100a(c)",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.764791666666667,"New Britain"
"15053",15053,1918705,"CT0006200","Hamden","Racial Profile","100000565","1300042929","Incident ID","Thursday, October 03, 2013",NA,"W","N","M",39,TRUE,TRUE,"HAMDEN              ","875 shepard ave",41.401328,NA,NA,NA,-72.923987,NA,NA,NA,"V","B",1,FALSE,"14-12(d)","Registration","14-12(a)*",FALSE,"N",FALSE,FALSE,"I",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.693935185185185,"New Britain"
"15054",15054,1918527,"CT0006200","Hamden","Racial Profile","100000248","1300042891","Incident ID","Thursday, October 03, 2013",NA,"B","N","M",51,TRUE,FALSE,"HAMDEN              ","Dixwell Avenue and Church Street",41.354015,NA,NA,NA,-72.929695,NA,NA,NA,"V","G",1,FALSE,"14-299","Traffic Control Signal","14-299",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.524803240740741,"New Britain"
"15055",15055,1918602,"CT0006200","Hamden","Racial Profile","100000475","1300042967","Incident ID","Thursday, October 03, 2013",NA,"B","N","M",51,TRUE,FALSE,"HAMDEN              ","dixwell and putnam",41.346275,NA,NA,NA,-72.93386,NA,NA,NA,"E","B",1,FALSE,"14-96a(a)","Defective Lights","14-96a",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.888125,"New Britain"
"15056",15056,1918601,"CT0006200","Hamden","Racial Profile","100000475","1300042946","Incident ID","Thursday, October 03, 2013",NA,"W","N","M",27,TRUE,TRUE,"HAMDEN              ","1199 Whitny Av",41.345,NA,NA,NA,-72.9118,NA,NA,NA,"V","B",1,FALSE,"14-12a","Registration","14-12a",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.790613425925926,"New Britain"
"15057",15057,1918603,"CT0006200","Hamden","Racial Profile","100000475","1300043124","Incident ID","Friday, October 04, 2013",NA,"W","N","M",22,FALSE,FALSE,"HAMDEN              ","whit/brown",41.41139,NA,NA,NA,-72.901123,NA,NA,NA,"V","G",1,FALSE,"14-242","Moving Violation","14-242",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.929027777777778,"New Britain"
"15058",15058,1918492,"CT0006200","Hamden","Racial Profile","100000223","1300043094","Incident ID","Friday, October 04, 2013",NA,"W","H","M",35,TRUE,FALSE,"HAMDEN              ","Hartford Turnpike/Davis St",41.341307,NA,NA,NA,-72.907539,NA,NA,NA,"V","B",1,FALSE,"14-298","Other","14-298",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.750694444444444,"New Britain"
"15059",15059,1918516,"CT0006200","Hamden","Racial Profile","100000244","1300043080","Incident ID","Friday, October 04, 2013",NA,"B","N","F",19,TRUE,FALSE,"HAMDEN              ","na",41.337425,NA,NA,NA,-72.929503,NA,NA,NA,"E","G",1,FALSE,"14-96c","Defective Lights",NA,FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.687083333333333,"New Britain"
"15060",15060,1918482,"CT0006200","Hamden","Racial Profile","100000175","1300043140","Incident ID","Friday, October 04, 2013",NA,"W","N","F",34,TRUE,FALSE,"Hamden              ","dixwell/connolly",41.373988,NA,NA,NA,-72.916167,NA,NA,NA,"E","G",1,FALSE,"14-96b","Defective Lights","14-102",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.99375,"New Britain"
"15061",15061,1918515,"CT0006200","Hamden","Racial Profile","100000244","1300043078","Incident ID","Friday, October 04, 2013",NA,"W","N","M",45,FALSE,FALSE,"HAMDEN              ","na",41.357446,NA,NA,NA,-72.926906,NA,NA,NA,"V","G",1,FALSE,"14-236","Moving Violation",NA,FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.678460648148148,"New Britain"
"15062",15062,1918737,"CT0006200","Hamden","Racial Profile","100000577","1300043135","Incident ID","Friday, October 04, 2013",NA,"B","N","F",38,TRUE,TRUE,"HAMDEN              ","millpond/sanford",41.38103,NA,NA,NA,-72.912431,NA,NA,NA,"V","G",1,FALSE,"14-218a","Speed Related","14-215",FALSE,"N",FALSE,FALSE,"M",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.976967592592593,"New Britain"
"15063",15063,1918517,"CT0006200","Hamden","Racial Profile","100000244","1300043080","Incident ID","Friday, October 04, 2013",NA,"B","N","M",19,TRUE,FALSE,"HAMDEN              ","na",41.337425,NA,NA,NA,-72.929503,NA,NA,NA,"E","G",1,FALSE,"14-96e","Defective Lights",NA,FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.687083333333333,"New Britain"
"15064",15064,1918412,"CT0006200","Hamden","Racial Profile","100000081","1300043031","Incident ID","Friday, October 04, 2013",NA,"W","N","M",80,TRUE,TRUE,"HAMDEN              ","shepard/w shepard",41.401328,NA,NA,NA,-72.923987,NA,NA,NA,"V","B",1,FALSE,"14-218a","Speed Related","14-218a",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.497407407407407,"New Britain"
"15065",15065,1918481,"CT0006200","Hamden","Racial Profile","100000175","1300043140","Incident ID","Friday, October 04, 2013",NA,"W","H","F",34,TRUE,FALSE,"Hamden              ","dixwell/connolly",41.373988,NA,NA,NA,-72.916167,NA,NA,NA,"E","G",1,FALSE,"14-96b","Defective Lights","14-96b",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.99375,"New Britain"
"15066",15066,1918631,"CT0006200","Hamden","Racial Profile","100000476","1300043104","Incident ID","Friday, October 04, 2013",NA,"W","N","F",65,TRUE,TRUE,"HAMDEN              ","hamden",41.360635,NA,NA,NA,-72.909436,NA,NA,NA,"V","G",1,FALSE,"14-96a(a)","Defective Lights","14-96a(a)",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.795219907407407,"New Britain"
